product_title,product_vendor,product_type,variant_sku,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
L'Oreal Paris Infallible 24H Matte Cover Liquid Foundation - 145 Rose Beige,L'Oreal CPD,L'Oreal Paris Makeup,3.60052E+12,4,4000,0,0,4000,0,4000
Maybelline New York- Baby Lips Lip Balm Cherry Kiss 4g,L'Oreal CPD,Maybelline New York,8.9923E+12,338,92417.2,-935.82,-292,91189.38,0,91189.38
L'Oreal Paris- Color Riche Matte Addiction Lipstick - 463 Plum Defile,L'Oreal CPD,L'Oreal Paris Makeup,3.60052E+12,10,11301.3,0,-2475,8826.3,0,8826.3
Garnier Men Power White Super Duo Foam 100 ml - For Brighter Skin,L'Oreal CPD,G-Men,8.9923E+12,53,17974.95,-495.15,0,17479.8,0,17479.8
Garnier- Skin Active Light Complete Tissue Face Mask - For Brighter Skin,L'Oreal CPD,Garnier Skincare,6.9237E+12,68,14523.7,-209,0,14314.7,0,14314.7
NYX Professional Makeup- Soft Matte Lip Cream 18 Prague,L'Oreal CPD,NYX Professional Makeup,8.00898E+11,98,63822.65,-1073.32,0,62749.33,0,62749.33
Maybelline New York- Superstay Matte Ink Liquid Lipstick Bricks City Edition Amazonian 70,L'Oreal CPD,Maybelline New York,6.9024E+12,38,39579.1,-2445.9,0,37133.2,0,37133.2
LOreal Paris Infallible 24H Matte Cover Liquid Foundation - 175 Sand,L'Oreal CPD,L'Oreal Paris Makeup,3.60052E+12,2,2798,0,0,2798,0,2798
Nyx Professional Makeup- Sweet Cheeks Creamy Powder Matte Blush Boom & Bloom,L'Oreal CPD,NYX Professional Makeup,8.00897E+11,6,6475.55,0,0,6475.55,0,6475.55
"L'Oreal Paris- 1.5% Hyaluronic Acid Serum, 30 ml - Free Quartz Roller",L'Oreal CPD,CPD Bundle,MZ803,1,1749,-112.76,0,1636.24,0,1636.24
"L'Oreal Paris- Infallible Shaping Stick Foundation, 160 Sand",L'Oreal CPD,L'Oreal Paris Makeup,3.60052E+12,2,2399,0,0,2399,0,2399
L'Oreal- Paris 1.5% Hyaluronic Acid Serum 30 ML,L'Oreal CPD,LOMU,3.60052E+12,27,47231.1,0,0,47231.1,0,47231.1
Garnier Color Naturals - 6.7 Sparkle Pure Chocolate Brown Hair Color,L'Oreal CPD,Garnier,3.61034E+12,2,1015.65,0,0,1015.65,0,1015.65
"NYX Professional Makeup- Can't Stop Won't Stop Contour Concealer- True Beige, 3.50 Ml",L'Oreal CPD,NYX Professional Makeup,8.00897E+11,5,4317.8,-111.93,0,4205.87,0,4205.87
"LOreal Paris- Infallible 24H Fresh Wear Liquid Foundation, 130 True Beige 30ml",L'Oreal CPD,L'Oreal Paris Makeup,3.60052E+12,19,43688.3,0,0,43688.3,0,43688.3
NYX Professional Makeup Liquid Suede Cream Lipstick 11 Kitten Heels,L'Oreal CPD,NYX Professional Makeup,8.00898E+11,37,28420.1,-84,0,28336.1,0,28336.1
L'Oreal- Paris Casting Creme Gloss - 630 Caramel Hair Color,L'Oreal CPD,L'Oreal Paris,3.60052E+12,7,7833,0,0,7833,0,7833
Maybelline New York- Volume Express The Colossal Waterproof Mascara,L'Oreal CPD,Maybelline New York,30079236,565,278245.7,-84945.2,0,193300.5,0,193300.5
Garnier Men Acno Fight Face Wash 20 ml,L'Oreal CPD,G-Men,8.964E+12,7,788,0,0,788,0,788
L'Oreal- Paris Excellence Creme Intense - 7.3 Dark Ash Blonde Hair Color,L'Oreal CPD,L'Oreal Paris,3.60052E+12,1,1359,0,0,1359,0,1359
Garnier Color Naturals - 4.15 Brownie Chocolate Hair Color,L'Oreal CPD,Garnier,3.60054E+12,2,933.3,0,0,933.3,0,933.3
L'Oreal Paris Excellence Creme Intense - 4.26 Deep Purple Red Hair Color,L'Oreal CPD,L'Oreal Paris,3.61034E+12,-1,0,0,-1274,-1274,0,-1274
"Maybelline New York- Fit Me Compact Powder 230 Natural Buff, 6gm",L'Oreal CPD,Maybelline New York,6.9024E+12,67,36337.55,-2509.78,0,33827.77,0,33827.77
LOreal Paris Infallible 24H Matte Cover Liquid Foundation - 25 Rose Ivory,L'Oreal CPD,L'Oreal Paris Makeup,3.60052E+12,91,101674.9,-1499.25,0,100175.65,0,100175.65
"NYX Professional Makeup- Can't Stop Won't Stop 24HR Full Coverage Foundation - Alabaster, 3.50 Ml",L'Oreal CPD,NYX Professional Makeup,8.00897E+11,5,4477.2,0,0,4477.2,0,4477.2
Maybelline New York- Tattoo Gel Liner- 920 Striking Navy,L'Oreal CPD,Maybelline New York,3.60053E+12,1,719.4,0,0,719.4,0,719.4
NYX Professional Makeup Liquid Suede Cream Lipstick 09 Tea & Cookies,L'Oreal CPD,NYX Professional Makeup,8.00898E+11,3,2158.2,0,0,2158.2,0,2158.2
